Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,17000.00,16900.00,1/2/2024 12:30:00 PM,1/2/2024 3:05:00 PM,Entry_Long,Stop loss,($200.00),($200.00),$0.00,$0.00,$0.00,$0.00,$0.00,$215.19,$32.16,$232.16,31,
2,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,16727.00,16777.00,1/3/2024 11:55:00 AM,1/3/2024 1:40:00 PM,Entry_Long,Profit target,$100.00,($100.00),$0.00,$0.00,$0.00,$0.00,$0.00,$71.23,$125.38,$25.38,21,
3,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,16774.00,16874.00,1/5/2024 11:55:00 AM,1/5/2024 12:55:00 PM,Entry_Short,Stop loss,($200.00),($300.00),$0.00,$0.00,$0.00,$0.00,$0.00,$205.05,$1.43,$201.43,12,
4,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,16977.00,17027.00,1/9/2024 12:40:00 PM,1/9/2024 1:50:00 PM,Entry_Long,Profit target,$100.00,($200.00),$0.00,$0.00,$0.00,$0.00,$0.00,$39.98,$126.50,$26.50,14,
5,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,16792.75,16772.00,1/10/2024 11:00:00 AM,1/10/2024 1:20:00 PM,Entry_Short,Exit on session close,$41.50,($158.50),$0.00,$0.00,$0.00,$0.00,$0.00,$56.62,$54.11,$12.61,28,
6,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,16819.00,16869.00,1/11/2024 10:05:00 AM,1/11/2024 12:20:00 PM,Entry_Long,Profit target,$100.00,($58.50),$0.00,$0.00,$0.00,$0.00,$0.00,$5.35,$100.68,$0.68,27,
7,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,16989.50,16889.50,1/15/2024 9:50:00 AM,1/15/2024 12:30:00 PM,Entry_Long,Stop loss,($200.00),($258.50),$0.00,$0.00,$0.00,$0.00,$0.00,$233.58,$22.65,$222.65,32,
8,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,17091.75,17141.75,1/16/2024 11:10:00 AM,1/16/2024 1:05:00 PM,Entry_Long,Profit target,$100.00,($158.50),$0.00,$0.00,$0.00,$0.00,$0.00,$73.83,$105.38,$5.38,23,
9,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,17388.50,17438.50,1/18/2024 12:00:00 PM,1/18/2024 2:45:00 PM,Entry_Long,Profit target,$100.00,($58.50),$0.00,$0.00,$0.00,$0.00,$0.00,$35.79,$107.63,$7.63,33,
10,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,17381.00,17418.00,1/22/2024 11:45:00 AM,1/22/2024 1:00:00 PM,Entry_Long,Exit on session close,$74.00,$15.50,$0.00,$0.00,$0.00,$0.00,$0.00,$47.42,$113.92,$39.92,15,
11,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,17276.50,17226.50,1/23/2024 10:30:00 AM,1/23/2024 12:45:00 PM,Entry_Short,Profit target,$100.00,$115.50,$0.00,$0.00,$0.00,$0.00,$0.00,$46.16,$101.68,$1.68,27,
12,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,17417.25,17367.25,1/24/2024 12:50:00 PM,1/24/2024 2:45:00 PM,Entry_Short,Profit target,$100.00,$215.50,$0.00,$0.00,$0.00,$0.00,$0.00,$5.94,$108.35,$8.35,23,
13,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,17602.00,17552.00,1/26/2024 11:30:00 AM,1/26/2024 1:35:00 PM,Entry_Short,Profit target,$100.00,$315.50,$0.00,$0.00,$0.00,$0.00,$0.00,$46.98,$133.29,$33.29,25,
14,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,17744.50,17694.50,1/30/2024 10:45:00 AM,1/30/2024 12:10:00 PM,Entry_Short,Profit target,$100.00,$415.50,$0.00,$0.00,$0.00,$0.00,$0.00,$50.32,$122.16,$22.16,17,
15,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,17908.25,17958.25,2/1/2024 12:05:00 PM,2/1/2024 3:25:00 PM,Entry_Long,Profit target,$100.00,$515.50,$0.00,$0.00,$0.00,$0.00,$0.00,$8.72,$120.49,$20.49,40,
16,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,17902.25,17952.25,2/2/2024 11:45:00 AM,2/2/2024 3:05:00 PM,Entry_Long,Profit target,$100.00,$615.50,$0.00,$0.00,$0.00,$0.00,$0.00,$74.34,$139.09,$39.09,40,
17,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,18259.75,18209.75,2/5/2024 12:05:00 PM,2/5/2024 3:10:00 PM,Entry_Short,Profit target,$100.00,$715.50,$0.00,$0.00,$0.00,$0.00,$0.00,$5.93,$108.50,$8.50,37,
18,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,18579.00,18629.00,2/6/2024 11:45:00 AM,2/6/2024 2:15:00 PM,Entry_Long,Profit target,$100.00,$815.50,$0.00,$0.00,$0.00,$0.00,$0.00,$22.56,$121.24,$21.24,30,
19,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,18395.75,18345.75,2/8/2024 10:15:00 AM,2/8/2024 12:45:00 PM,Entry_Short,Profit target,$100.00,$915.50,$0.00,$0.00,$0.00,$0.00,$0.00,$55.30,$123.38,$23.38,30,
20,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,18438.75,18388.75,2/9/2024 11:25:00 AM,2/9/2024 1:10:00 PM,Entry_Short,Profit target,$100.00,$1015.50,$0.00,$0.00,$0.00,$0.00,$0.00,$50.89,$119.29,$19.29,21,
21,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,18489.75,18539.75,2/13/2024 9:55:00 AM,2/13/2024 10:25:00 AM,Entry_Long,Profit target,$100.00,$1115.50,$0.00,$0.00,$0.00,$0.00,$0.00,$3.56,$137.45,$37.45,6,
22,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,18486.00,18516.00,2/15/2024 10:00:00 AM,2/15/2024 12:40:00 PM,Entry_Short,Exit on session close,($60.00),$1055.50,$0.00,$0.00,$0.00,$0.00,$0.00,$123.24,$34.54,$94.54,32,
23,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,18375.00,18325.00,2/20/2024 12:40:00 PM,2/20/2024 12:50:00 PM,Entry_Short,Profit target,$100.00,$1155.50,$0.00,$0.00,$0.00,$0.00,$0.00,$51.15,$139.73,$39.73,2,
24,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,18639.75,18689.75,2/21/2024 1:30:00 PM,2/21/2024 4:45:00 PM,Entry_Long,Profit target,$100.00,$1255.50,$0.00,$0.00,$0.00,$0.00,$0.00,$43.30,$120.75,$20.75,39,
25,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,18397.75,18447.75,2/22/2024 11:10:00 AM,2/22/2024 2:30:00 PM,Entry_Long,Profit target,$100.00,$1355.50,$0.00,$0.00,$0.00,$0.00,$0.00,$76.59,$104.52,$4.52,40,
26,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,18464.00,18364.00,2/23/2024 9:35:00 AM,2/23/2024 11:40:00 AM,Entry_Long,Stop loss,($200.00),$1155.50,$0.00,$0.00,$0.00,$0.00,$0.00,$216.21,$6.78,$206.78,25,
27,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,18149.75,18199.75,2/28/2024 10:50:00 AM,2/28/2024 12:40:00 PM,Entry_Long,Profit target,$100.00,$1255.50,$0.00,$0.00,$0.00,$0.00,$0.00,$50.73,$132.15,$32.15,22,
28,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,18159.50,18109.50,2/29/2024 10:45:00 AM,2/29/2024 2:00:00 PM,Entry_Short,Profit target,$100.00,$1355.50,$0.00,$0.00,$0.00,$0.00,$0.00,$10.76,$114.03,$14.03,39,
29,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,18019.25,17969.25,3/4/2024 9:55:00 AM,3/4/2024 11:30:00 AM,Entry_Short,Profit target,$100.00,$1455.50,$0.00,$0.00,$0.00,$0.00,$0.00,$37.71,$137.03,$37.03,19,
30,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,18128.00,18228.00,3/5/2024 1:10:00 PM,3/5/2024 3:00:00 PM,Entry_Short,Stop loss,($200.00),$1255.50,$0.00,$0.00,$0.00,$0.00,$0.00,$249.98,$12.81,$212.81,22,
31,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,17946.75,17896.75,3/7/2024 12:45:00 PM,3/7/2024 1:05:00 PM,Entry_Short,Profit target,$100.00,$1355.50,$0.00,$0.00,$0.00,$0.00,$0.00,$28.34,$125.97,$25.97,4,
32,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,17668.50,17618.50,3/8/2024 10:35:00 AM,3/8/2024 10:50:00 AM,Entry_Short,Profit target,$100.00,$1455.50,$0.00,$0.00,$0.00,$0.00,$0.00,$62.34,$131.87,$31.87,3,
33,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,17555.00,17655.00,3/12/2024 10:05:00 AM,3/12/2024 1:05:00 PM,Entry_Short,Stop loss,($200.00),$1255.50,$0.00,$0.00,$0.00,$0.00,$0.00,$276.68,$27.38,$227.38,36,
34,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,17635.25,17685.25,3/13/2024 9:35:00 AM,3/13/2024 12:15:00 PM,Entry_Long,Profit target,$100.00,$1355.50,$0.00,$0.00,$0.00,$0.00,$0.00,$18.12,$131.14,$31.14,32,
35,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,17868.75,17968.75,3/14/2024 12:20:00 PM,3/14/2024 3:10:00 PM,Entry_Short,Stop loss,($200.00),$1155.50,$0.00,$0.00,$0.00,$0.00,$0.00,$231.48,$31.68,$231.68,34,
36,MNQ 12-26,Backtest,EsempioBreakoutNQ,Short,1,17950.25,17985.00,3/19/2024 12:00:00 PM,3/19/2024 1:10:00 PM,Entry_Short,Exit on session close,($69.50),$1086.00,$0.00,$0.00,$0.00,$0.00,$0.00,$115.01,$35.17,$104.67,14,
37,MNQ 12-26,Backtest,EsempioBreakoutNQ,Long,1,17904.50,17920.25,3/22/2024 1:00:00 PM,3/22/2024 2:15:00 PM,Entry_Long,Exit on session close,$31.50,$1117.50,$0.00,$0.00,$0.00,$0.00,$0.00,$73.94,$36.44,$4.94,15,
