Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MES 12-26,Backtest,EsempioMeanRevES,Long,1,4700.00,4688.00,1/5/2024 1:05:00 PM,1/5/2024 2:50:00 PM,Entry_Long,Stop loss,($60.00),($60.00),$0.00,$0.00,$0.00,$0.00,$0.00,$63.13,$5.76,$65.76,21,
2,MES 12-26,Backtest,EsempioMeanRevES,Long,1,4664.00,4652.00,1/9/2024 10:25:00 AM,1/9/2024 1:10:00 PM,Entry_Long,Stop loss,($60.00),($120.00),$0.00,$0.00,$0.00,$0.00,$0.00,$77.62,$10.77,$70.77,33,
3,MES 12-26,Backtest,EsempioMeanRevES,Long,1,4678.75,4666.75,1/10/2024 2:10:00 PM,1/10/2024 2:30:00 PM,Entry_Long,Stop loss,($60.00),($180.00),$0.00,$0.00,$0.00,$0.00,$0.00,$74.90,$29.12,$89.12,4,
4,MES 12-26,Backtest,EsempioMeanRevES,Short,1,4618.50,4603.50,1/11/2024 1:00:00 PM,1/11/2024 2:40:00 PM,Entry_Short,Profit target,$75.00,($105.00),$0.00,$0.00,$0.00,$0.00,$0.00,$2.06,$89.22,$14.22,20,
5,MES 12-26,Backtest,EsempioMeanRevES,Long,1,4691.00,4706.00,1/16/2024 1:25:00 PM,1/16/2024 2:25:00 PM,Entry_Long,Profit target,$75.00,($30.00),$0.00,$0.00,$0.00,$0.00,$0.00,$7.76,$99.48,$24.48,12,
6,MES 12-26,Backtest,EsempioMeanRevES,Long,1,4701.75,4689.75,1/17/2024 10:10:00 AM,1/17/2024 1:20:00 PM,Entry_Long,Stop loss,($60.00),($90.00),$0.00,$0.00,$0.00,$0.00,$0.00,$79.70,$9.92,$69.92,38,
7,MES 12-26,Backtest,EsempioMeanRevES,Long,1,4729.25,4717.25,1/18/2024 11:30:00 AM,1/18/2024 2:30:00 PM,Entry_Long,Stop loss,($60.00),($150.00),$0.00,$0.00,$0.00,$0.00,$0.00,$73.18,$7.75,$67.75,36,
8,MES 12-26,Backtest,EsempioMeanRevES,Short,1,4808.25,4820.25,1/23/2024 12:50:00 PM,1/23/2024 1:45:00 PM,Entry_Short,Stop loss,($60.00),($210.00),$0.00,$0.00,$0.00,$0.00,$0.00,$82.69,$5.02,$65.02,11,
9,MES 12-26,Backtest,EsempioMeanRevES,Long,1,4872.75,4877.95,1/25/2024 12:10:00 PM,1/25/2024 2:25:00 PM,Entry_Long,Exit on session close,$26.00,($184.00),$0.00,$0.00,$0.00,$0.00,$0.00,$23.37,$50.15,$24.15,27,
10,MES 12-26,Backtest,EsempioMeanRevES,Long,1,4943.25,4958.25,1/30/2024 2:10:00 PM,1/30/2024 4:20:00 PM,Entry_Long,Profit target,$75.00,($109.00),$0.00,$0.00,$0.00,$0.00,$0.00,$6.34,$91.45,$16.45,26,
11,MES 12-26,Backtest,EsempioMeanRevES,Long,1,4921.50,4909.50,2/2/2024 10:25:00 AM,2/2/2024 11:05:00 AM,Entry_Long,Stop loss,($60.00),($169.00),$0.00,$0.00,$0.00,$0.00,$0.00,$76.57,$16.74,$76.74,8,
