Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MCL 12-26,Backtest,EsempioTrendCL,Long,1,72.00,72.17,1/3/2024 12:15:00 PM,1/3/2024 3:05:00 PM,Entry_Long,Exit on session close,$16.50,$16.50,$0.00,$0.00,$0.00,$0.00,$0.00,$25.25,$75.45,$58.95,34,
2,MCL 12-26,Backtest,EsempioTrendCL,Long,1,70.54,72.04,1/9/2024 1:15:00 PM,1/9/2024 1:40:00 PM,Entry_Long,Profit target,$150.00,$166.50,$0.00,$0.00,$0.00,$0.00,$0.00,$9.23,$171.67,$21.67,5,
3,MCL 12-26,Backtest,EsempioTrendCL,Long,1,70.96,72.46,1/17/2024 11:45:00 AM,1/17/2024 1:00:00 PM,Entry_Long,Profit target,$150.00,$316.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.24,$180.61,$30.61,15,
4,MCL 12-26,Backtest,EsempioTrendCL,Long,1,70.13,69.53,1/18/2024 10:40:00 AM,1/18/2024 12:40:00 PM,Entry_Long,Exit on session close,($60.00),$256.50,$0.00,$0.00,$0.00,$0.00,$0.00,$60.43,$56.53,$116.53,24,
5,MCL 12-26,Backtest,EsempioTrendCL,Short,1,71.16,69.66,1/23/2024 12:25:00 PM,1/23/2024 2:10:00 PM,Entry_Short,Profit target,$150.00,$406.50,$0.00,$0.00,$0.00,$0.00,$0.00,$22.95,$178.87,$28.87,21,
6,MCL 12-26,Backtest,EsempioTrendCL,Long,1,71.45,72.95,1/24/2024 11:20:00 AM,1/24/2024 12:00:00 PM,Entry_Long,Profit target,$150.00,$556.50,$0.00,$0.00,$0.00,$0.00,$0.00,$20.75,$155.29,$5.29,8,
7,MCL 12-26,Backtest,EsempioTrendCL,Long,1,72.63,71.83,1/29/2024 9:45:00 AM,1/29/2024 10:15:00 AM,Entry_Long,Stop loss,($80.00),$476.50,$0.00,$0.00,$0.00,$0.00,$0.00,$101.05,$49.06,$129.06,6,
8,MCL 12-26,Backtest,EsempioTrendCL,Long,1,72.61,74.11,1/30/2024 1:40:00 PM,1/30/2024 3:20:00 PM,Entry_Long,Profit target,$150.00,$626.50,$0.00,$0.00,$0.00,$0.00,$0.00,$5.31,$184.78,$34.78,20,
9,MCL 12-26,Backtest,EsempioTrendCL,Long,1,72.82,74.32,2/5/2024 1:25:00 PM,2/5/2024 1:50:00 PM,Entry_Long,Profit target,$150.00,$776.50,$0.00,$0.00,$0.00,$0.00,$0.00,$14.28,$154.05,$4.05,5,
10,MCL 12-26,Backtest,EsempioTrendCL,Short,1,73.48,74.28,2/6/2024 10:15:00 AM,2/6/2024 12:45:00 PM,Entry_Short,Stop loss,($80.00),$696.50,$0.00,$0.00,$0.00,$0.00,$0.00,$91.10,$33.00,$113.00,30,
11,MCL 12-26,Backtest,EsempioTrendCL,Short,1,73.91,72.41,2/8/2024 1:30:00 PM,2/8/2024 4:30:00 PM,Entry_Short,Profit target,$150.00,$846.50,$0.00,$0.00,$0.00,$0.00,$0.00,$30.94,$167.97,$17.97,36,
12,MCL 12-26,Backtest,EsempioTrendCL,Long,1,74.63,75.51,2/12/2024 12:05:00 PM,2/12/2024 2:35:00 PM,Entry_Long,Exit on session close,$88.00,$934.50,$0.00,$0.00,$0.00,$0.00,$0.00,$11.42,$100.30,$12.30,30,
13,MCL 12-26,Backtest,EsempioTrendCL,Short,1,74.68,74.21,2/15/2024 10:55:00 AM,2/15/2024 1:40:00 PM,Entry_Short,Exit on session close,$47.00,$981.50,$0.00,$0.00,$0.00,$0.00,$0.00,$17.98,$56.99,$9.99,33,
14,MCL 12-26,Backtest,EsempioTrendCL,Long,1,75.10,75.81,2/16/2024 10:40:00 AM,2/16/2024 11:00:00 AM,Entry_Long,Exit on session close,$71.00,$1052.50,$0.00,$0.00,$0.00,$0.00,$0.00,$10.05,$98.35,$27.35,4,
15,MCL 12-26,Backtest,EsempioTrendCL,Long,1,73.75,75.25,2/22/2024 10:55:00 AM,2/22/2024 12:05:00 PM,Entry_Long,Profit target,$150.00,$1202.50,$0.00,$0.00,$0.00,$0.00,$0.00,$10.21,$154.59,$4.59,14,
16,MCL 12-26,Backtest,EsempioTrendCL,Long,1,74.93,74.95,2/23/2024 11:30:00 AM,2/23/2024 12:50:00 PM,Entry_Long,Exit on session close,$2.00,$1204.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.08,$46.41,$44.41,16,
17,MCL 12-26,Backtest,EsempioTrendCL,Short,1,74.53,73.03,2/29/2024 11:50:00 AM,2/29/2024 12:20:00 PM,Entry_Short,Profit target,$150.00,$1354.50,$0.00,$0.00,$0.00,$0.00,$0.00,$7.98,$190.44,$40.44,6,
18,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.10,77.60,3/13/2024 11:35:00 AM,3/13/2024 2:10:00 PM,Entry_Long,Profit target,$150.00,$1504.50,$0.00,$0.00,$0.00,$0.00,$0.00,$5.24,$197.02,$47.02,31,
19,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.73,78.23,3/18/2024 11:30:00 AM,3/18/2024 1:25:00 PM,Entry_Long,Profit target,$150.00,$1654.50,$0.00,$0.00,$0.00,$0.00,$0.00,$4.31,$188.93,$38.93,23,
20,MCL 12-26,Backtest,EsempioTrendCL,Long,1,77.44,76.64,3/20/2024 11:45:00 AM,3/20/2024 12:35:00 PM,Entry_Long,Stop loss,($80.00),$1574.50,$0.00,$0.00,$0.00,$0.00,$0.00,$98.83,$43.34,$123.34,10,
21,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.47,76.49,3/21/2024 1:15:00 PM,3/21/2024 2:40:00 PM,Entry_Long,Exit on session close,$2.00,$1576.50,$0.00,$0.00,$0.00,$0.00,$0.00,$23.52,$31.35,$29.35,17,
22,MCL 12-26,Backtest,EsempioTrendCL,Long,1,77.36,78.31,4/5/2024 11:15:00 AM,4/5/2024 11:45:00 AM,Entry_Long,Exit on session close,$95.00,$1671.50,$0.00,$0.00,$0.00,$0.00,$0.00,$12.97,$112.35,$17.35,6,
23,MCL 12-26,Backtest,EsempioTrendCL,Short,1,76.74,75.81,4/17/2024 11:00:00 AM,4/17/2024 1:50:00 PM,Entry_Short,Exit on session close,$93.00,$1764.50,$0.00,$0.00,$0.00,$0.00,$0.00,$2.86,$111.50,$18.50,34,
24,MCL 12-26,Backtest,EsempioTrendCL,Long,1,78.07,78.54,4/18/2024 12:05:00 PM,4/18/2024 1:40:00 PM,Entry_Long,Exit on session close,$47.00,$1811.50,$0.00,$0.00,$0.00,$0.00,$0.00,$26.89,$99.48,$52.48,19,
25,MCL 12-26,Backtest,EsempioTrendCL,Short,1,76.95,77.75,4/22/2024 11:55:00 AM,4/22/2024 12:50:00 PM,Entry_Short,Stop loss,($80.00),$1731.50,$0.00,$0.00,$0.00,$0.00,$0.00,$92.98,$48.18,$128.18,11,
26,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.14,76.16,5/2/2024 11:50:00 AM,5/2/2024 2:30:00 PM,Entry_Long,Exit on session close,$2.00,$1733.50,$0.00,$0.00,$0.00,$0.00,$0.00,$28.47,$42.27,$40.27,32,
27,MCL 12-26,Backtest,EsempioTrendCL,Short,1,76.35,77.15,5/3/2024 1:50:00 PM,5/3/2024 2:45:00 PM,Entry_Short,Stop loss,($80.00),$1653.50,$0.00,$0.00,$0.00,$0.00,$0.00,$110.64,$53.14,$133.14,11,
28,MCL 12-26,Backtest,EsempioTrendCL,Long,1,76.87,76.07,5/7/2024 12:05:00 PM,5/7/2024 12:15:00 PM,Entry_Long,Stop loss,($80.00),$1573.50,$0.00,$0.00,$0.00,$0.00,$0.00,$105.40,$0.79,$80.79,2,
